"","city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","clinicDistance","kindergartenDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasStorageRoom","priceInZloty","priceInEuro"
"1969","krakow","54",3,3,2002,"1,18","0,172","0,095","0,308","0,157","no","no","no","no",3500,"805"
"1970","krakow","65",3,3,NA,"0,85","0,172","0,178","0,4","0,097","no","no","no","no",4000,"920"
"1971","krakow","59",2,3,1950,"8,17","0,022","1,287","0,127","0,182","no","no","no","no",2500,"575"
"1972","krakow","94",4,3,1999,"0,94","0,308","0,286","0,177","0,264","yes","yes","yes","no",4500,"1035"
"1973","krakow","46",2,2,NA,"1,14","0,217","0,403","0,623","0,055","no","no","no","no",3499,"804,77"
"1974","krakow","45",2,2,2018,"1,82","0,295","0,339","0,605","0,43","no","no","no","no",3300,"759"
"1975","krakow","42",2,1,NA,"4","0,268","0,412","0,215","0,202","no","no","yes","no",2900,"667"
"1976","krakow","56",2,1,1905,"0,86","0,013","0,538","0,483","0,138","no","no","yes","no",5500,"1265"
"1977","krakow","35",2,NA,1900,"7,34","0,373","1,131","0,155","0,118","no","no","no","no",2200,"506"
"1978","krakow","25",1,1,NA,"0,31","0,036","0,629","0,064","0,034","yes","yes","no","no",2050,"471,5"
"1979","krakow","60",3,NA,NA,"2,13","0,66","0,867","0,796","0,591","yes","no","no","no",3500,"805"
"1980","krakow","37,1",2,4,NA,"4,11","0,093","1,056","0,197","0,342","no","no","no","no",1800,"414"
"1981","krakow","30",2,3,2018,"2,14","0,444","0,328","0,4","0,174","yes","yes","yes","no",3300,"759"
"1982","krakow","46",2,2,2021,"2,06","0,416","0,284","0,268","0,685","no","yes","yes","no",3499,"804,77"
"1983","krakow","50",2,12,2001,"3,23","0,557","0,477","0,055","0,407","no","yes","yes","no",3000,"690"
"1984","krakow","49,9",2,2,1920,"1,7","0,067","0,338","0,069","0,294","no","no","yes","no",3200,"736"
"1985","krakow","55",3,NA,2023,"7,89","1,558","3,024","1,442","1,056","yes","no","no","no",3500,"805"
"1986","krakow","26",1,5,2022,"4,96","0,203","1,13","0,881","0,668","yes","yes","yes","no",2000,"460"
"1987","krakow","38,5",2,4,2005,"3,18","0,158","0,356","0,082","0,243","no","yes","yes","no",2000,"460"
"1988","krakow","60",2,NA,NA,"0,42","0,099","0,737","0,356","0,356","yes","no","no","no",2500,"575"
"1989","krakow","28",1,3,NA,"0,72","0,107","0,6","0,483","0,162","no","yes","yes","no",2700,"621"
"1990","krakow","46",2,1,NA,"3,84","0,803","0,359","0,362","0,731","no","no","no","no",3300,"759"
"1991","krakow","78",3,1,1990,"4,2","0,095","1,795","1,596","1,521","yes","yes","no","no",4900,"1127"
"1992","krakow","95,24",5,2,NA,"0,93","0,09","0,458","0,48","0,217","no","no","no","no",8500,"1955"
"1993","krakow","26",1,2,2022,"1,03","0,055","0,332","0,3","0,062","no","no","yes","no",2800,"644"
"1994","krakow","32",2,1,2021,"2,66","0,425","0,848","0,267","0,586","no","yes","yes","no",2750,"632,5"
"1995","krakow","57",2,3,2022,"0,9","0,205","0,732","0,478","0,191","yes","no","yes","no",5470,"1258,1"
"1996","krakow","35",1,2,NA,"2,69","0,256","0,209","0,471","0,46","no","yes","no","no",3000,"690"
"1997","krakow","28",1,3,1936,"2,32","0,516","0,144","0,161","0,158","yes","no","no","no",2100,"483"
"1998","krakow","60",2,1,NA,"1,03","0,055","0,332","0,3","0,062","no","yes","no","no",4200,"966"
