"","city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","clinicDistance","kindergartenDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasStorageRoom","priceInZloty","priceInEuro"
"132","gdynia",60,2,10,2009,0.68,0.561,1.491,0.713,0.421,"yes","yes","yes","no",3700,851
"133","gdynia",40,2,4,1974,6.32,2.39,3.593,2.21,2.596,"no","yes","no","yes",2200,506
"134","gdynia",55,2,3,1960,1.07,0.427,1.451,0.298,0.089,"no","no","no","no",1900,437
"135","gdynia",41,2,8,1980,0.04,0.203,1.122,0.178,0.092,"no","yes","yes","yes",2000,460
"136","gdynia",63.86,3,3,2008,3.68,0.502,0.404,0.996,0.156,"no","yes","yes","no",3500,805
"137","gdynia",56,3,3,1975,3.48,0.219,0.459,0.141,0.362,"no","yes","no","yes",3000,690
"138","gdynia",50,2,15,2024,0.53,0.298,1.584,0.542,0.272,"no","yes","yes","no",4900,1127
"139","gdynia",55,2,16,2024,0.53,0.298,1.584,0.542,0.272,"no","yes","yes","no",4700,1081
"140","gdynia",75,3,4,2015,0.08,0.252,1.064,0.281,0.112,"yes","yes","yes","no",4300,989
"141","gdynia",63,3,5,2012,3.45,2.684,2.821,2.885,2.585,"yes","no","yes","no",2900,667
"142","gdynia",60.38,2,9,2004,3.49,0.251,0.865,0.469,0.202,"yes","no","yes","yes",3250,747.5
"143","gdynia",30,1,1,1990,4.49,0.45,0.958,0.313,0.389,"no","yes","no","no",1800,414
"144","gdynia",43,2,2,2000,6.98,0.664,3.511,0.528,0.394,"no","yes","no","no",2300,529
"145","gdynia",49,2,1,1936,4.28,0.355,1.529,0.261,0.536,"no","no","no","no",2500,575
"146","gdynia",35,2,1,1983,5.62,1.796,2.893,1.683,1.96,"no","yes","no","no",1700,391
"147","gdynia",64.51,2,2,2017,5.4,0.64,2.543,0.611,0.794,"no","yes","yes","no",4500,1035
"148","gdynia",47,2,4,1980,3,0.158,1.283,0.193,0.17,"no","yes","yes","no",1800,414
"149","gdynia",56,2,4,2000,0.4,0.554,1.067,0.261,0.058,"no","yes","yes","no",4000,920
"150","gdynia",29.25,2,2,2019,0.97,0.412,0.451,0.416,0.129,"no","yes","no","no",2950,678.5
"151","gdynia",38,2,4,1967,0.53,0.423,0.555,0.299,0.062,"no","yes","yes","no",2300,529
"152","gdynia",43,2,3,2020,0.42,0.255,1.399,0.539,0.156,"no","yes","yes","yes",3300,759
"153","gdynia",80,3,1,2006,6.42,0.419,2.863,0.383,0.528,"no","yes","no","yes",2999,689.77
"154","gdynia",48,2,3,2023,0.51,0.281,1.568,0.528,0.256,"no","yes","yes","yes",3900,897
"155","gdynia",37.48,2,3,2021,3.01,2.784,3.42,2.828,1.991,"yes","yes","yes","no",2700,621
"156","gdynia",28,1,1,2012,3.58,0.336,0.328,0.258,0.487,"no","yes","yes","no",2000,460
"157","gdynia",128.8,4,3,2000,2.06,0.08,0.489,0.526,0.342,"yes","yes","yes","yes",7200,1656
"158","gdynia",45.63,3,7,1980,6.13,2.178,3.38,2.01,2.379,"no","yes","yes","no",1900,437
"159","gdynia",44,2,2,1937,2.6,2.374,3.3,2.444,1.581,"no","no","no","yes",2300,529
"160","gdynia",40,2,2,2024,4.31,0.352,1.362,0.435,0.404,"no","yes","yes","no",3400,782
"161","gdynia",75,3,3,2022,2.11,0.197,0.422,0.297,0.157,"yes","yes","yes","no",4900,1127
"162","gdynia",41.1,2,3,2000,7.6,2.145,3.795,2.054,2.156,"no","no","no","no",2000,460
"163","gdynia",51,2,1,2017,4.56,0.23,0.887,0.375,0.69,"no","yes","yes","no",4000,920
"164","gdynia",56,2,1,2007,5.52,0.861,2.933,0.285,0.809,"no","yes","no","yes",2500,575
"165","gdynia",55,3,1,2021,5.74,3.663,4.106,3.569,3.74,"no","no","no","no",2500,575
"166","gdynia",52,3,6,1980,5.05,1.098,2.301,0.928,1.3,"no","no","yes","no",2800,644
"167","gdynia",58.3,2,2,2023,1.57,0.33,1.426,0.529,0.755,"no","yes","yes","no",3900,897
"168","gdynia",97.27,4,1,2023,1.57,0.33,1.426,0.529,0.755,"no","yes","yes","yes",7000,1610
"169","gdynia",70,3,1,2023,1.41,0.19,1.343,0.433,0.624,"no","yes","yes","no",5000,1150
"170","gdynia",44,2,7,2020,5.41,2.503,3.233,2.373,2.624,"no","yes","yes","no",2800,644
"171","gdynia",42,2,1,1980,1.44,0.225,1.35,0.442,0.658,"no","yes","no","yes",2500,575
"172","gdynia",43,2,3,2008,5.96,0.369,2.581,0.185,0.454,"no","yes","yes","no",2500,575
"173","gdynia",56,2,1,2022,3.32,0.249,0.335,0.531,0.281,"yes","yes","yes","yes",3600,828
"174","gdynia",87.95,4,4,1952,0.29,0.526,0.791,0.293,0.109,"no","no","yes","yes",3800,874
"175","gdynia",60,2,1,2002,4.52,0.439,0.976,0.289,0.422,"no","yes","no","yes",2500,575
"176","gdynia",50.3,2,2,2006,7,1.252,3.267,1.166,1.276,"no","yes","no","yes",2400,552
"177","gdynia",116,5,2,1930,0.24,0.475,0.889,0.278,0.162,"no","yes","yes","no",4900,1127
"178","gdynia",25,1,5,1980,1.05,0.263,0.253,0.27,0.116,"no","no","yes","no",1900,437
"179","gdynia",67.13,3,1,2023,1.57,0.33,1.426,0.529,0.755,"no","yes","yes","no",5000,1150
"180","gdynia",58.3,2,1,2023,1.57,0.33,1.426,0.529,0.755,"no","yes","yes","no",3900,897
"181","gdynia",58.3,2,2,2023,1.38,0.106,1.376,0.46,0.539,"no","yes","no","no",3900,897
"182","gdynia",97.27,4,1,2023,1.38,0.106,1.376,0.46,0.539,"no","yes","no","no",7000,1610
"183","gdynia",82,3,1,2019,0.26,0.409,0.961,0.211,0.071,"no","no","no","no",4000,920
"184","gdynia",76,3,12,2022,2.11,0.197,0.422,0.297,0.157,"no","yes","yes","no",7000,1610
"185","gdynia",56.35,2,5,2019,0.31,0.549,0.79,0.371,0.064,"no","yes","yes","no",4500,1035
"186","gdynia",60.01,3,1,1985,5.89,1.973,3.171,1.79,2.178,"no","yes","yes","yes",5000,1150
"187","gdynia",107,5,3,2010,6.84,0.772,3.649,0.736,0.375,"no","no","yes","yes",3700,851
"188","krakow",35,2,2,2023,2.52,0.733,0.605,0.352,0.188,"yes","yes","yes","no",2900,667
"189","krakow",29,1,1,2020,2.14,0.534,0.402,0.384,0.702,"yes","yes","yes","no",2650,609.5
"190","krakow",59,3,5,2024,2.49,0.186,0.101,0.358,0.063,"yes","yes","yes","no",4500,1035
"191","krakow",52.5,2,2,2011,5.35,0.243,0.272,0.084,0.388,"yes","yes","no","yes",2900,667
"192","krakow",35,2,2,2023,2.58,0.796,0.665,0.418,0.202,"yes","yes","yes","no",2900,667
"193","krakow",34,2,5,2023,7.55,0.556,1.322,0.08,0.197,"no","yes","yes","no",2750,632.5
"194","krakow",85,4,1,2010,5.19,0.709,1.625,1.392,0.958,"yes","yes","no","yes",4899,1126.77
"195","krakow",46,2,4,2011,4.71,0.205,0.833,0.21,0.424,"yes","yes","yes","no",3000,690
"196","krakow",49,3,5,1973,5.85,0.168,1.664,0.244,0.372,"no","yes","yes","yes",2700,621
"197","krakow",40,2,5,2023,4.52,0.382,0.801,0.249,0.221,"yes","yes","yes","no",2950,678.5
"198","krakow",50,2,5,2016,5.43,0.289,1.836,0.123,0.101,"yes","yes","yes","yes",2850,655.5
"199","krakow",40,2,3,2018,4.23,0.134,0.92,0.219,0.524,"yes","yes","yes","no",2800,644
"200","krakow",25,1,2,2020,7.56,0.306,0.492,0.161,0.315,"yes","yes","yes","no",2350,540.5
"201","krakow",48,2,1,2013,4.63,1.004,0.41,0.288,0.062,"yes","yes","no","no",2600,598
"202","krakow",50,2,1,1980,2.9,0.184,0.62,0.278,0.17,"no","yes","yes","no",2350,540.5
"203","krakow",60,3,5,2019,1.4,0.274,0.31,0.201,0.15,"yes","no","yes","no",4390,1009.7
"204","krakow",45,2,4,2023,3.76,0.644,0.383,0.401,0.966,"yes","yes","yes","yes",2700,621
"205","krakow",38,2,11,2023,2.21,0.323,0.033,0.619,0.155,"yes","yes","yes","yes",2900,667
"206","krakow",93,3,4,2007,0.61,0.208,0.39,0.585,0.136,"yes","yes","yes","no",5100,1173
"207","krakow",33.7,2,3,1930,1.52,0.242,0.74,0.537,0.284,"yes","no","no","no",2950,678.5
"208","krakow",36,2,1,2021,6.05,0.337,0.887,0.144,0.266,"yes","yes","yes","no",2300,529
"209","krakow",51,2,3,1900,1.41,0.039,0.333,0.299,0.083,"no","no","no","no",3300,759
"210","krakow",52,2,7,2006,3.75,0.464,0.141,0.454,0.061,"no","no","yes","no",2999,689.77
"211","krakow",48,2,7,2013,2.35,0.491,0.253,0.272,0.172,"no","no","yes","no",3300,759
"212","krakow",44,2,5,2023,4.35,0.233,0.546,0.047,0.068,"yes","yes","yes","no",3000,690
"213","krakow",55,3,10,2023,5.27,0.086,0.969,0.089,0.062,"yes","yes","yes","no",3500,805
"214","krakow",50,2,1,2023,2.1,0.676,0.262,0.431,0.307,"yes","yes","yes","no",3500,805
"215","krakow",50,2,2,2022,2.26,0.155,0.74,0.666,0.3,"yes","yes","yes","no",3600,828
"216","krakow",93,3,2,1913,1.15,0.333,0.298,0.675,0.113,"no","yes","yes","no",5300,1219
"217","krakow",35.87,2,2,1930,1.92,0.162,0.491,0.51,0.127,"no","no","no","no",3250,747.5
"218","krakow",48,3,2,1999,5.3,0.54,0.562,0.078,0.178,"no","yes","no","no",3300,759
"219","krakow",120,4,1,1860,0.62,0.167,0.506,0.217,0.134,"no","no","no","no",6000,1380
"220","krakow",50,2,1,2020,2.91,0.212,0.34,0.28,0.227,"no","yes","no","no",4000,920
"221","krakow",38,2,2,1969,2.68,0.403,0.125,0.362,0.041,"yes","yes","no","no",2100,483
"222","krakow",68,3,4,2019,0.44,0.095,0.626,0.252,0.153,"yes","no","yes","yes",4500,1035
"223","krakow",33,2,4,2008,5.15,0.504,0.142,0.267,0.446,"no","yes","yes","no",2300,529
"224","krakow",55,2,1,2009,2.32,0.233,0.22,0.114,0.09,"no","yes","no","no",2500,575
"225","krakow",45.23,2,3,2014,4.24,0.441,0.559,0.051,0.437,"no","yes","yes","no",2450,563.5
"226","krakow",36,2,1,1978,7.51,0.432,1.535,0.392,0.053,"no","yes","yes","no",2300,529
"227","krakow",54,2,1,2015,4.87,0.632,1.533,1.251,0.667,"no","yes","no","no",2600,598
"228","krakow",36.1,2,2,2022,2.58,0.382,0.688,0.158,0.524,"no","no","yes","no",3000,690
"229","krakow",47,2,1,2000,1.62,0.112,0.413,0.147,0.216,"no","no","yes","no",2700,621
"230","krakow",49,2,14,1998,3.78,0.219,0.301,0.194,0.033,"yes","yes","yes","no",2600,598
"231","krakow",51,2,4,2021,2.3,0.524,0.254,0.251,0.187,"yes","no","yes","no",3700,851
"232","krakow",45,2,1,2021,8.55,1.34,3.995,0.598,0.922,"yes","yes","yes","no",2100,483
"233","krakow",53,2,4,2008,1.79,0.168,0.412,0.456,0.222,"yes","no","yes","no",3300,759
